electricity_pricing,electricity_pricing_predicted_1,electricity_pricing_predicted_2,electricity_pricing_predicted_3,outdoor_dry_bulb_temperature,outdoor_relative_humidity,diffuse_solar_irradiance,direct_solar_irradiance,carbon_intensity,month,hour,day_type,daylight_savings_status,indoor_dry_bulb_temperature,average_unmet_cooling_setpoint_difference,indoor_relative_humidity,non_shiftable_load,dhw_demand,cooling_demand,heating_demand,solar_generation
0.22,0.22,0.22,0.22,20.0,84.0,0.0,0.0,0.1707244,7,24,7,0,,,,2.18875,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,20.1,79.0,0.0,0.0,0.15731905,8,1,1,0,,,,1.3706666,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.7,78.0,0.0,0.0,0.15450256,8,2,1,0,,,,1.10125,0.0,0.0,0.0,0.0
0.22,0.22,0.22,0.22,19.3,78.0,0.0,0.0,0.15094487,8,3,1,0,,,,0.54321665,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.9,78.0,0.0,0.0,0.15181987,8,4,1,0,,,,0.5428333,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.3,81.0,0.0,0.0,0.15808822,8,5,1,0,,,,1.5124333,0.0,0.0,0.0,0.0
0.22,0.22,0.54,0.22,18.3,81.0,25.0,100.0,0.16193937,8,6,1,0,,,,0.34868333,0.0,0.0,0.0,5.608333
0.22,0.22,0.54,0.22,19.4,79.0,201.0,444.0,0.16434596,8,7,1,0,,,,0.67861664,0.0,0.0,0.0,29.5
0.22,0.22,0.54,0.22,21.1,73.0,420.0,592.0,0.19099815,8,8,1,0,,,,1.5065,0.0,0.0,0.0,96.754166
0.22,0.22,0.22,0.22,22.2,71.0,554.0,491.0,0.20289886,8,9,1,0,,,,1.6521167,0.0,0.0,0.0,225.45416
0.22,0.54,0.22,0.22,21.7,73.0,778.0,734.0,0.21287169,8,10,1,0,,,,2.7347834,0.0,0.0,0.0,366.8
0.22,0.54,0.22,0.22,22.2,71.0,903.0,811.0,0.22570992,8,11,1,0,,,,2.9716666,0.0,0.0,0.0,491.59583
0.22,0.54,0.22,0.22,22.8,68.0,964.0,815.0,0.23460789,8,12,1,0,,,,3.526,0.0,0.0,0.0,578.87085
0.22,0.54,0.22,0.22,22.8,71.0,966.0,747.0,0.2428607,8,13,1,0,,,,3.8720334,0.0,0.0,0.0,624.8458
0.22,0.54,0.22,0.22,22.2,73.0,683.0,291.0,0.24223925,8,14,1,0,,,,3.4493666,0.0,0.0,0.0,631.1875
0.22,0.22,0.22,0.22,22.8,71.0,522.0,153.0,0.2426803,8,15,1,0,,,,3.3364167,0.0,0.0,0.0,600.2708
0.54,0.22,0.22,0.54,22.2,71.0,444.0,174.0,0.24524967,8,16,1,0,,,,2.2620666,0.0,0.0,0.0,514.5125
